1,Cristabel,Novak,2005,1
2,Brittani,Beecraft,2008,0
3,Sal,Grafom,2012,0
4,Linea,Southey,2016,1
5,Boone,Castles,2019,0
6,Sonnnie,Rubenovic,2000,1
7,Yorgos,O' Hanvey,2008,1
8,Roxie,O'Gavin,2018,0
9,Lek,Essame,2023,1
10,Padriac,Sabie,2017,0
11,Leeanne,Sline,2005,1
12,Urban,Bertlin,2014,0
13,Basilius,Clowton,2016,0
14,Alayne,Hawgood,2014,0
15,Jarvis,Ritchie,2006,0
16,Jenelle,Marquiss,2011,0
17,Hyacintha,Astley,2020,0
18,Wilton,Gelly,2009,1
19,Dona,Eadon,2015,1
20,Aindrea,Lovett,2014,0
21,Dori,Burbidge,2010,1
22,Zelig,Houston,2020,0
23,Annmarie,Yanson,2007,0
24,Sonny,Thorburn,2017,1
25,Emyle,Probbings,2003,1
26,Roldan,Morison,2015,1
27,Bertie,Beardsdale,2003,0
28,Temple,Franzetti,2016,0
29,Micaela,Van Arsdall,2011,1
30,Dianna,Issett,2009,0
31,Garnette,Errichiello,2020,1
32,Fara,Warfield,2008,1
33,Jere,Zincke,2001,1
34,Fanchette,Ziehms,2002,1
35,Cynthy,Szymoni,2010,1
36,Chandler,Duffan,2016,1
37,Danny,Lamdin,2005,0
38,Grete,Wrathall,2002,0
39,Jamey,Breewood,2019,0
40,Rasia,Grigoriev,2014,0
41,Kerianne,Spurgin,2013,0
42,Erena,Mitkcov,2006,0
43,Georgia,Shambrook,2001,1
44,Cello,Trussman,2023,0
45,Drusie,Brameld,2019,0
46,Brenna,Chancellor,2019,0
47,Keene,Crowth,2007,1
48,Donia,Adds,2009,0
49,Patrice,Lalor,2002,0
50,Jae,Wenger,2021,1
51,Molly,Nolder,2021,1
52,Shalom,Very,2016,1
53,Linn,Widocks,2005,0
54,Lucina,Southeran,2008,0
55,Weston,Ferronier,2022,0
56,Mendel,Braker,2000,0
57,Amery,Hupe,2013,0
58,Kinnie,Dore,2006,1
59,Stormie,Jeves,2017,1
60,Sibelle,Orniz,2022,1
61,Silvan,Enstone,2004,1
62,Nanni,Pyrke,2000,1
63,Fulton,Stoneham,2008,0
64,Johan,Dods,2000,1
65,Audry,Washington,2007,1
66,Iorgos,Davidesco,2006,0
67,Ezri,Croad,2004,1
68,Jeanne,Braunstein,2007,0
69,Lenard,Gieves,2011,1
70,Cary,Tacon,2016,1
71,Moss,Blaza,2002,0
72,Dillie,Sedgeworth,2000,1
73,Lotti,Birks,2014,0
74,Elene,Whittenbury,2021,0
75,Cati,Baistow,2016,1
76,Devon,Cluff,2023,0
77,Marten,Shorland,2014,0
78,Collette,Leber,2009,0
79,Hatty,Alessandrelli,2009,1
80,Violette,De Gogay,2015,0
81,Kalinda,Dugdale,2020,0
82,Adham,Perks,2001,1
83,Jerome,Wolverson,2018,1
84,Shawn,Stife,2011,1
85,Frans,Parades,2021,1
86,Salomi,Sanders,2015,1
87,Ardath,Corwin,2006,0
88,Nerty,Androlli,2022,1
89,Dael,Gelland,2012,1
90,Seana,Carslake,2021,0
91,Emmet,Prater,2003,1
92,Kakalina,Dudderidge,2004,0
93,Tommi,Selley,2005,0
94,Molly,Correa,2001,0
95,Nonna,Attle,2012,0
96,Ludovico,Skeldinge,2003,1
97,Brennen,Bourtoumieux,2022,1
98,Granthem,McRae,2013,1
99,Alex,Androli,2016,1
100,Bertha,Umfrey,2022,1
