1,Lew,Cornehl,6,16.32
2,Keenan,Dabs,6,19.63
3,Adam,Hansie,2,18.13
4,Wittie,Hellen,6,19.09
5,Emelen,Poston,7,17.8
6,Sula,Sibbe,4,16.06
7,Juliann,Paggitt,4,18.99
8,Consolata,Jerdon,1,18.84
9,Sidney,Dono,5,19.23
10,Lory,Hubbucks,5,15.23
11,Desirae,Maddyson,4,17.45
12,Rosamund,Kippins,2,16.36
13,Aurel,Duncan,7,16.61
14,Guillemette,Corkel,5,18.8
15,Christos,Staniland,1,15.59
16,Nelli,Iacavone,2,18.67
17,Webster,Shoebottom,5,19.74
18,Joane,Bracknell,5,16.89
19,Burk,McPherson,3,19.3
20,Mateo,Van Castele,1,17.04
21,Andrea,McJarrow,2,15.46
22,Yance,Jakubiak,2,17.65
23,Mikaela,Stammers,2,17.89
24,Andres,Studart,4,19.23
25,Othello,Beetham,5,15.32
26,Bab,Tesseyman,6,18.32
27,Harley,Lackie,2,18.99
28,Jakob,Paolinelli,2,15.73
29,Iago,Weaver,1,17.57
30,Tricia,Greenhall,6,18.12
31,Brandyn,Croley,6,19.33
32,Velma,Magee,6,17.82
33,Durante,McMorran,4,17.43
34,Alfreda,Goodlatt,2,18.45
35,Zack,De Andisie,5,15.33
36,Janeva,Domerc,3,19.77
37,Sydel,Entissle,1,17.64
38,Amalie,Wermerling,1,15.83
39,Hayyim,Rassmann,1,17.37
40,Agace,Hamor,6,15.77
41,Kirbie,Szymanski,4,19.57
42,Kikelia,Sibthorp,4,18.62
43,Dael,Chaffer,6,15.02
44,Sheba,Paish,1,19.69
45,Nada,Galer,3,15.45
46,Braden,Hawick,7,15.18
47,Clark,Rotherham,6,18.71
48,Rafa,Virgo,3,17.13
49,Stesha,Klimshuk,7,19.27
50,Binni,Minchenton,1,19.57
51,Vonny,Iddenden,4,16.31
52,Warden,Ivanets,3,17.37
53,Job,Blissett,3,17.65
54,Dionisio,Baumler,2,19.72
55,Nicki,Hembery,6,16.84
56,Matthaeus,Gecks,4,16.93
57,Harmony,Luparti,5,15.45
58,Masha,Ranson,7,17.36
59,Kristien,Veck,4,17.37
60,Jessie,Le Leu,2,15.48
61,Tonie,Cuddehy,3,17
62,Mercie,Penhale,5,15.5
63,Ashia,Pilgrim,3,19.91
64,Rodd,Diplock,2,18.31
65,Sandro,Klessmann,1,19.87
66,Melisande,Watting,1,18.11
67,Violette,Bolsteridge,7,18.16
68,Freeland,Denness,4,19.38
69,Tessie,Zanolli,7,18.2
70,Violetta,Morfield,6,17.75
71,Gerhardt,Comben,6,15.58
72,Kimmy,Senior,2,18.63
73,Chaim,Atcheson,2,17.92
74,Bernardo,Howatt,7,15.89
75,Mikkel,Asche,7,18.21
76,Tom,Seagrove,4,16.81
77,Kendal,Delicate,1,17.39
78,Barbie,Debow,5,15.89
79,Rosaleen,Schonfeld,4,19.65
80,Abagail,Hagston,5,18.84
81,Nadya,Yurocjkin,1,17.16
82,Ulberto,Brilon,4,15.19
83,Christian,Burrell,7,18.62
84,Artie,Asprey,2,16.62
85,Bonny,Dorow,4,15.45
86,Rowan,Wreight,2,19.58
87,Gwenore,Boskell,1,15.17
88,Marybeth,Winwright,6,19.18
89,Guthrie,MacMychem,3,19.36
90,Cobb,Berthelet,3,17.65
91,Georgia,Danelutti,7,19.23
92,Jessamine,Shankland,7,15.05
93,Garv,Aldington,2,18.66
94,Aylmar,Hardey,6,15.1
95,Arlen,McPhee,2,19.05
96,Liliane,MacMaster,2,17.34
97,Uriah,Hinchcliffe,1,19.58
98,Simone,Vedenyapin,7,19.5
99,Roz,Clever,5,16.1
100,Gretchen,Feveryear,7,15.56
